Sim_ID;Fracture_Case;HF_Case;K_min;K_max;Por_min;Por_max;Pore_pressure;Fracture_length_ft;Fracture_height_ft;Fracture_width_in;Fracture_perm_md;SF_Heat_Perf_kJ
175;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,00545;0,0157;7000;700;50;0,1;30000;2837,99
176;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,0545;0,157;7000;700;50;0,1;30000;5302,81
177;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,109;0,314;7000;700;50;0,1;30000;6822,78
178;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,00545;0,0157;7000;700;50;0,1;30000;20959,31
179;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,0545;0,157;7000;700;50;0,1;30000;29793,36
180;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,109;0,314;7000;700;50;0,1;30000;34906,19
181;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,00545;0,0157;9000;700;50;0,1;30000;1720,3
182;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,0545;0,157;9000;700;50;0,1;30000;3600,67
183;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,109;0,314;9000;700;50;0,1;30000;4971,02
184;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,00545;0,0157;9000;700;50;0,1;30000;3493,37
185;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,0545;0,157;9000;700;50;0,1;30000;6390,67
186;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,109;0,314;9000;700;50;0,1;30000;8165,3
187;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,00545;0,0157;9000;700;50;0,1;30000;26186,95
188;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,0545;0,157;9000;700;50;0,1;30000;36643,34
189;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,109;0,314;9000;700;50;0,1;30000;42702,27
190;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,00545;0,0157;5000;800;50;0,1;30000;1177,39
191;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,0545;0,157;5000;800;50;0,1;30000;2693,43
192;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,109;0,314;5000;800;50;0,1;30000;3772,59
193;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,00545;0,0157;5000;800;50;0,1;30000;2346,84
194;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,0545;0,157;5000;800;50;0,1;30000;4573,7
195;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,109;0,314;5000;800;50;0,1;30000;5944,91
196;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,00545;0,0157;5000;800;50;0,1;30000;16598,3
197;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,0545;0,157;5000;800;50;0,1;30000;24614,93
198;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,109;0,314;5000;800;50;0,1;30000;29217,04
199;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,00545;0,0157;7000;800;50;0,1;30000;1599,16
200;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,0545;0,157;7000;800;50;0,1;30000;3473,51
201;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,109;0,314;7000;800;50;0,1;30000;4825,63
202;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,00545;0,0157;7000;800;50;0,1;30000;3214,76
203;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,0545;0,157;7000;800;50;0,1;30000;6056,04
204;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,109;0,314;7000;800;50;0,1;30000;7797,19
205;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,00545;0,0157;7000;800;50;0,1;30000;23348,89
206;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,0545;0,157;7000;800;50;0,1;30000;33672,65
207;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,109;0,314;7000;800;50;0,1;30000;39594,02
208;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,00545;0,0157;9000;800;50;0,1;30000;1958
209;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,0545;0,157;9000;800;50;0,1;30000;4114,65
210;SF_BASE_CASE_MQR_003_145;8;0,00005;0,001;0,109;0,314;9000;800;50;0,1;30000;5677,07
211;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,00545;0,0157;9000;800;50;0,1;30000;3953,9
212;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,0545;0,157;9000;800;50;0,1;30000;7297,16
213;SF_BASE_CASE_MQR_003_145;8;0,0001;0,002;0,109;0,314;9000;800;50;0,1;30000;9330,92
214;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,00545;0,0157;9000;800;50;0,1;30000;29140,86
215;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,0545;0,157;9000;800;50;0,1;30000;41380,88
216;SF_BASE_CASE_MQR_003_145;8;0,001;0,02;0,109;0,314;9000;800;50;0,1;30000;48390,59
217;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,00545;0,0157;5000;900;50;0,1;30000;1330,1
218;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,0545;0,157;5000;900;50;0,1;30000;3039,84
219;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,109;0,314;5000;900;50;0,1;30000;4252,93
220;SF_BASE_CASE_MQR_003_146;9;0,0001;0,002;0,00545;0,0157;5000;900;50;0,1;30000;2633,1
221;SF_BASE_CASE_MQR_003_146;9;0,0001;0,002;0,0545;0,157;5000;900;50;0,1;30000;5159,12
222;SF_BASE_CASE_MQR_003_146;9;0,0001;0,002;0,109;0,314;5000;900;50;0,1;30000;6704,49
223;SF_BASE_CASE_MQR_003_146;9;0,001;0,02;0,00545;0,0157;5000;900;50;0,1;30000;18370,07
224;SF_BASE_CASE_MQR_003_146;9;0,001;0,02;0,0545;0,157;5000;900;50;0,1;30000;27579,62
225;SF_BASE_CASE_MQR_003_146;9;0,001;0,02;0,109;0,314;5000;900;50;0,1;30000;32815,7
226;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,00545;0,0157;7000;900;50;0,1;30000;1805,59
227;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,0545;0,157;7000;900;50;0,1;30000;3922,31
228;SF_BASE_CASE_MQR_003_146;9;0,00005;0,001;0,109;0,314;7000;900;50;0,1;30000;5441,92
229;SF_BASE_CASE_MQR_003_146;9;0,0001;0,002;0,00545;0,0157;7000;900;50;0,1;30000;3602,89
230;SF_BASE_CASE_MQR_003_146;9;0,0001;0,002;0,0545;0,157;7000;900;50;0,1;30000;6830,4
